,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
361285,08/31/2019,20:00,BROOKLYN,11233.0,40.67899,-73.924,"(40.67899, -73.924)",,,1882      FULTON STREET                 ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4199150,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
623672,06/14/2018,15:15,MANHATTAN,10032.0,40.841717,-73.94435,"(40.841717, -73.94435)",,,1051      RIVERSIDE DRIVE               ,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3921498,Van,Sedan,,,
925059,03/03/2017,19:25,QUEENS,11434.0,40.669144,-73.76591,"(40.669144, -73.76591)",FARMERS BOULEVARD               ,143 ROAD,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3625408,Sedan,Sedan,,,
1509940,07/16/2014,2:20,QUEENS,11429,40.7142228,-73.738927,"(40.7142228, -73.738927)",HEMPSTEAD AVENUE                ,217 LANE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,994639,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1664322,10/25/2013,1:40,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,2913717,PASSENGER VEHICLE,,,,
1941845,09/28/2022,7:22,BRONX,10472.0,40.829357,-73.8536,"(40.829357, -73.8536)",OLMSTEAD AVENUE,WATSON AVENUE,,1.0,0.0,1,0,0,0,0,0,Glare,,,,,4572449,Sedan,,,,
1329112,05/25/2015,22:00,BRONX,10456.0,40.8253149,-73.9082127,"(40.8253149, -73.9082127)",EAST 164 STREET                 ,3 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3227486,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
787929,10/03/2017,11:45,BROOKLYN,11220.0,40.63627,-74.02584,"(40.63627, -74.02584)",,,6822      3 AVENUE                      ,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3762472,Sedan,Sedan,,,
700868,03/01/2018,19:25,BROOKLYN,11210.0,40.62254,-73.94096,"(40.62254, -73.94096)",,,3518      AVENUE L                      ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3862556,Motorcycle,,,,
282523,02/10/2020,20:00,BROOKLYN,11215.0,40.661594,-73.979355,"(40.661594, -73.979355)",PROSPECT PARK WEST              ,14 STREET,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4286625,Sedan,,,,
631394,06/20/2018,23:30,BRONX,10457.0,40.846657,-73.89619,"(40.846657, -73.89619)",EAST TREMONT AVENUE             ,3 AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3926847,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1773403,04/04/2013,15:20,BROOKLYN,11232,40.6518337,-74.0033264,"(40.6518337, -74.0033264)",5 AVENUE                        ,38 STREET                       ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,157711,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1336802,05/15/2015,17:50,QUEENS,11691.0,40.599502,-73.7540678,"(40.599502, -73.7540678)",BROOKHAVEN AVENUE               ,BEACH 20 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3221312,PASSENGER VEHICLE,VAN,,,
359641,09/01/2019,13:40,QUEENS,11429.0,40.715015,-73.741646,"(40.715015, -73.741646)",HEMPSTEAD AVENUE                ,217 STREET,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,4199041,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
946999,01/29/2017,4:40,,,40.71241,-73.83468,"(40.71241, -73.83468)",JACKIE ROBINSON PKWY            ,,,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Following Too Closely,Following Too Closely,Unspecified,,3606642,Sedan,Station Wagon/Sport Utility Vehicle,Taxi,Sedan,
1858918,10/20/2012,9:00,QUEENS,11362,40.7678648,-73.7381752,"(40.7678648, -73.7381752)",NORTHERN BOULEVARD              ,249 STREET                      ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,260239,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1590587,02/24/2014,9:35,MANHATTAN,10032,40.8308918,-73.9413666,"(40.8308918, -73.9413666)",SAINT NICHOLAS AVENUE           ,WEST 155 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,69967,PASSENGER VEHICLE,OTHER,,,
